Year,Month,resid_sales,resid_count,resid_np,comm_sales,comm_count,comm_np,CPI,County,Population,resid_pc,comm_pc,resid_rp,comm_rp
2007,2,3806286.0,2146266.0,6.93,2618062.0,253065.0,6.51,203.499,State,6488000,0.5866655363748459,0.4035237361282367,3.405422139666534,3.1990329190806834
2007,3,3447578.0,2172528.0,6.92,2459440.0,256941.0,6.63,205.352,State,6488000,0.5313776202219482,0.379075215782984,3.3698235225369118,3.228602594569325
2007,4,2885324.0,2161824.0,7.0,2333161.0,254436.0,6.49,206.686,State,6488000,0.44471701602959307,0.3596117447595561,3.3867799463921116,3.1400288360121147
2007,5,2598701.0,2173152.0,7.03,2336964.0,258475.0,6.38,207.949,State,6488000,0.40053961159062884,0.36019790382244143,3.3806365983967224,3.0680599570086895
2007,6,2287753.0,2169482.0,7.29,2342201.0,256206.0,6.33,208.352,State,6488000,0.3526129778051788,0.3610050863131936,3.4988864997696205,3.0381277837505762
2007,7,2417046.0,2167426.0,7.65,2476801.0,257837.0,6.67,208.299,State,6488000,0.3725409987669544,0.38175107891491983,3.6726052453444327,3.2021277106467143
2007,8,2372573.0,2189626.0,7.41,2503538.0,259103.0,6.28,207.917,State,6488000,0.3656863440197287,0.3858720715166461,3.56392214200859,3.0204360393810994
2007,9,2134391.0,2160140.0,7.62,2403060.0,256944.0,6.52,208.49,State,6488000,0.3289751849568434,0.37038532675709,3.654851551633172,3.127248309271428
2007,10,2435116.0,2194340.0,7.6,2416790.0,259294.0,6.65,208.936,State,6488000,0.375326140567201,0.37250154130702834,3.6374775050733237,3.182792816939158
2007,11,2886480.0,2172568.0,7.52,2393218.0,258329.0,6.78,210.177,State,6488000,0.44489519112207154,0.36886837237977804,3.577936691455297,3.2258524957535792
2007,12,3811394.0,2183497.0,7.55,2691189.0,257605.0,6.68,210.036,State,6488000,0.5874528360049321,0.41479485203452526,3.5946218743453504,3.180407168294959
2008,1,4278359.0,2774451.0,7.43,2640982.0,347668.0,6.73,211.08,State,6587600,0.6494564029388549,0.4009019976926346,3.519992419935569,3.188364601099109
2008,2,4048736.0,2779530.0,7.51,2702202.0,346301.0,6.72,211.693,State,6587600,0.6145995506709575,0.41019521525289937,3.5475901423287493,3.174408223228921
2008,3,3611888.0,2785782.0,7.48,2533998.0,350105.0,6.86,213.528,State,6587600,0.5482858704232194,0.38466178881535007,3.503053463714361,3.2126934172567534
2008,4,3206151.0,2790455.0,7.46,2389542.0,344882.0,6.74,214.823,State,6587600,0.48669485093205417,0.36273331714129575,3.472626301652989,3.1374666585980084
2008,5,2790268.0,2786319.0,7.11,2404172.0,350563.0,6.55,216.632,State,6587600,0.42356366506770293,0.3649541562936426,3.2820635917131358,3.023560692787769
2008,6,2446336.0,2783669.0,7.65,2363109.0,348662.0,6.7,218.815,State,6587600,0.37135466634282593,0.35872077843220596,3.4961040148070293,3.0619473070858945
2008,7,2462751.0,2793807.0,7.7,2465642.0,351559.0,6.67,219.964,State,6587600,0.37384646912380837,0.3742853239419515,3.500572821007074,3.032314378716517
